"TaxId","Project_Id","Project_Acc","Sort_By_ProjectType","Sort_By_DataType","Sort_By_Organism","Project_Subtype","Project_Target_Scope","Registration_Date","Project_Name","Project_Title","Project_Description","Organism_Name","Organism_Strain","Organism_Label","Sequencing_Status","Submitter_Organization"
419947,18883,"PRJNA18883",384248,385505,207505,,"Monoisolate","2007/05/31 00:00","Mycobacterium tuberculosis H37Ra strain:ATCC25177","An avirulent strain derived from its virulent parent strain H37","  Mycobacterium tuberculosis H37Ra. This strain (H37Ra; ATCC 25177) is an avirulent strain derived from its virulent  parent strain H37 (isolated from a 19 year-old male patient with chronic pulmonary tuberculosis by Edward R. Baldwin in 1905) through a process of aging and dissociation from in vitro culture in 1935. H37Ra has several different characteristics compared with its virulent sister strain H37Rv, including a rough, raised colony morphology, loss of cord formation, loss of neutral red dye binding,  decreased ability to survive under anaerobic conditions, reduced ability to survive inside macrophages, and loss of virulence in guinea pigs, mice and rabbits. Despite numerous studies in the past 70 years, the molecular basis for the loss of virulence  in H37Ra has remained obscure. In this project, we determined the whole genome sequence for the H37Ra strain from ATCC (ATCC 25177). The choice of the ATCC type strain of H37Ra is important as repeated in vitro culture is known to create changes in the genome. Determination of the genome sequence of H37Ra and comparative genome analysis of H37Ra with the recently sequenced virulent sister strain H37Rv is of critical importance not only for elucidating the mechanism of attenuation of virulence in H37Ra but also for understanding the virulence and pathogenesis of M. tuberculosis.    ","Mycobacterium tuberculosis H37Ra","ATCC25177",,"Complete","Chinese National Human Genome Center at Shanghai"
33892,284102,"PRJNA284102",244249,254960,209303,,"Multiisolate","2015/09/17 00:00","Mycobacterium tuberculosis variant bovis BCG isolate:368 shch","Mycobacterium bovis BCG Russia whole genome sequencing","The comparative analysis based on whole genome sequencing of Russian substrains M. bovis BCG-1","Mycobacterium tuberculosis variant bovis BCG","BCG","BCG-Russia","Chromosome(s)","Central Research Institute for Epidemiology"
336982,15642,"PRJNA15642",385274,386157,207468,,"Monoisolate","2007/06/07 00:00","Mycobacterium tuberculosis F11","Predominant strain in South African epidemic"," Mycobacterium tuberculosis strain F11. This strain (genotype F11) represents the largest portion of isolates recovered from tuberculosis patients during a TB epidemic in the Western Cape of South Africa. It is also found in other parts of the world.","Mycobacterium tuberculosis F11","F11",,"Complete","Broad Institute"
478434,21055,"PRJNA21055",383578,385038,207730,,"Monoisolate","2009/07/09 00:00","Mycobacterium tuberculosis KZN 1435","Multidrug-resistant clinical isolate","Mycobacterium tuberculosis strain KZN 1435. M. tuberculosis strain KZN 1435 was isolated from a patient in KwaZulu-Natal, South Africa. This strain is multidrug-resistant (resistant to isoniazid and rifampin).","Mycobacterium tuberculosis KZN 1435","KZN 1435",,"Complete","Broad Institute"
1765,214551,"PRJNA214551",304028,309335,209294,,"Multiisolate","2013/10/30 00:00","Mycobacterium tuberculosis variant bovis","South American Mycobacterium bovis whole genome sequencing","Strains of Mycobacterium bovis isolated from Brazil and Argentina","Mycobacterium tuberculosis variant bovis",,,"Contigs","South American Mycobacterium bovis WGS"
395095,17353,"PRJNA17353",384714,385777,208353,,"Monoisolate","2013/09/11 00:00","Mycobacterium tuberculosis str. Haarlem","A drug resistant strain found in crowded human populations"," Mycobacterium tuberculosis str. Haarlem. This drug-resistant strain has an accelerated transmission rate among humans in crowded conditions. It is being sequenced for comparative genome analysis.","Mycobacterium tuberculosis str. Haarlem","Haarlem",,"Complete","Broad Institute"
478433,21053,"PRJNA21053",383579,385039,207733,,"Monoisolate","2011/04/07 00:00","Mycobacterium tuberculosis KZN 4207","Drug-susceptible clinical isolate","Mycobacterium tuberculosis strain KZN 4207. M. tuberculosis strain KZN 4207 was isolated from a patient in KwaZulu-Natal, South Africa. This strain is drug-susceptible.","Mycobacterium tuberculosis KZN 4207","KZN 4207",,"Complete","Broad Institute"
478435,21057,"PRJNA21057",383577,385037,207734,,"Monoisolate","2012/06/19 00:00","Mycobacterium tuberculosis KZN 605","Extensively drug-resistant clinical isolate","Mycobacterium tuberculosis KZN 605. M. tuberculosis strain KZN 605 was isolated from a patient in KwaZulu-Natal, South Africa. This strain is extensively drug-resistant (XDR).","Mycobacterium tuberculosis KZN 605","KZN 605",,"Complete","Broad Institute"
659019,39283,"PRJNA39283",380804,383047,209352,,"Monoisolate","2015/08/19 00:00","Mycobacterium tuberculosis W-148","Strain will be sequenced for comparative genome analysis"," Mycobacterium tuberculosis W-148. This strain will be sequenced for comparative genome analysis at 10.8X coverage using whole genome shotgun (WGS) sequencing.","Mycobacterium tuberculosis W-148","W-148",,"Complete","Broad Institute"
998092,63839,"PRJNA63839",375617,378777,209319,,"Monoisolate","2014/03/14 00:00","Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743","Mycobacterium bovis BCG str. ATCC 35743 genome sequencing project.",,"Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743","ATCC 35743",,"Complete","Microbial Genome Research Center, CASPMI, IM-CAS"
707235,43171,"PRJNA43171",379811,382284,207456,,"Monoisolate","2011/08/25 00:00","Mycobacterium tuberculosis CTRI-2","Mycobacterium tuberculosis CTRI-2 genome sequencing","Mycobacterium tuberculosis CTRI-2. This M.tuberculosis isolate was cultivated in Molecular-genetic research lab of Central Tuberculosis Research Institute, Russian Academy of Medical Sciences, Moscow, Russia; Strain name: CTRI-2 (for additional information please contact prof., Sci.D. Larisa Chernousova, Head of Microbiology Depatment (lchernousova@mail.ru) or  Tatiana Smirnova, Ph.D. senior researcher,molecular-genetic research lab.(s_tatka@mail.ru)).    This endemic M.tuberculosis strain isolated in Russia belongs to AI family (according to RFLP genotyping). This strain is sensitive to all common drugs used in tuberculosis treatment.  ","Mycobacterium tuberculosis CTRI-2","CTRI-2",,"Complete","Research Institute for Physical-Chemical Medicine, Moscow, Russia"
717522,45811,"PRJNA45811",379705,382197,209324,,"Monoisolate","2011/11/09 00:00","Mycobacterium tuberculosis variant bovis BCG str. Mexico","Mycobacterium bovis BCG str. Mexico genome sequencing project","  Mycobacterium bovis strain BCG.   This strain was used to produce BCG (Bacille de Calmette et Guan) vaccine, a well-known tuberculosis vaccine, originally developed by Calmette and Guan in the 1920's by multiple subculturings that resulted in attenuation (weakened virulence) of the strain.    Mycobacterium bovis BCG str. Mexico. This strain was used for Mexican vaccination until 1970.","Mycobacterium tuberculosis variant bovis BCG str. Mexico","Mexico",,"Complete","Universidad Nacional Autónoma de México"
572418,68095,"PRJEA68095",374147,377470,209227,,"Monoisolate","2011/07/05 00:00","Mycobacterium tuberculosis variant africanum GM041182","Mycobacterium africanum GM041182 genome sequencing project","  Mycobacterium africanum GM041182.  This strain will be used for comparative genome analysis.","Mycobacterium tuberculosis variant africanum GM041182","GM041182",,"Complete","Wellcome Trust Sanger Insititute"
443150,19583,"PRJNA19583",384007,385320,207428,,"Monoisolate","2011/07/05 00:00","Mycobacterium tuberculosis CCDC5180","Multidrug-resistant clinical isolate.","Mycobacterium tuberculosis CCDC 5180. This strain was isolated in 2004 from a patient with secondary pulmonary tuberculosis. Strain CCDC5180 is resistant to isoniazid, rifampicin, streptomycin and ethambutol. This strain is sequenced for comparative genomic studies.  ","Mycobacterium tuberculosis CCDC5180","CCDC5180",,"Complete","Beijing Genomics institute and National Institue for Communicable Disease Control and Prevetion"
83332,37301,"PRJNA37301",381317,383416,207611,,"Monoisolate","2012/07/12 00:00","Mycobacterium tuberculosis H37Rv","Mycobacterium tuberculosis H37Rv genome sequencing","Genomic DNA, wild types, parents and mutants provided by John Aquadro at the Broad Institute. ","Mycobacterium tuberculosis H37Rv","H37Rv",,"Complete","Broad Institute"
1773,82273,"PRJEA82273",369910,373709,207029,,"Monoisolate","2013/01/08 00:00","Mycobacterium tuberculosis strain:7199-99","Mycobacterium tuberculosis strain:7199-99 Genome sequencing",,"Mycobacterium tuberculosis","7199-99",,"Complete","Center for Biotechnology, Bielefeld University"
1206780,170028,"PRJNA170028",331820,334797,209323,,"Monoisolate","2013/02/08 00:00","Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P","Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P Genome sequencing","Whole genome sequence of Korean BCG vaccine strain.","Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P","BCG-Korea","1168P","Complete","Korean Institute of Tuberculosis"
467705,66,"PRJNA66",387229,387229,301264,,"Monoisolate","2007/09/11 00:00","Streptococcus gordonii str. Challis substr. CH1","Causes caries and periodontal diseases"," Streptococcus gordonii strain Challis. This strain is used extensively in the laboratory because of its well characterized transformation system.","Streptococcus gordonii str. Challis substr. CH1","Challis",,"Complete","TIGR"
1306400,193385,"PRJNA193385",316901,321253,208341,,"Monoisolate","2013/04/15 00:00","Mycobacterium tuberculosis str. Beijing/NITR203","Mycobacterium tuberculosis str. Beijing/NITR203 Genome sequencing","Whole genome sequencing of Bejing strain of Mycobacterium tuberculosis clinical isolate from Tamilnadu, India was performed using paired read sequencing on Illumina Hiseq 2000. A reference assembly has been generated by mapping reads to the genome of the reference strain of M. tuberculosis H37Rv.","Mycobacterium tuberculosis str. Beijing/NITR203","Beijing/NITR203","NITR203","Complete","National Institute of Tuberculosis Research, Chennai, India"
1765,272571,"PRJNA272571",254481,264023,209290,,"Multiisolate","2015/02/20 00:00","Mycobacterium tuberculosis variant bovis strain:W-1171","Mycobacterium bovis W-1171 Genome sequencing","Set up data base about M. bovis isolated from wild animal in South Korea","Mycobacterium tuberculosis variant bovis","W-1171","wild boar","Contigs","Animal and Plant Quarantine Agency"
1310115,193387,"PRJNA193387",316899,321251,207464,,"Monoisolate","2013/05/08 00:00","Mycobacterium tuberculosis EAI5/NITR206","Mycobacterium tuberculosis EAI5/NITR206 Genome sequencing","Whole genome sequencing of EAI3 strain of Mycobacterium tuberculosis clinical isolate from Tamilnadu, India was performed using paired read sequencing on Illumina Hiseq 2000. A reference assembly has been generated by mapping reads to the genome of the reference strain of M. tuberculosis H37Rv.","Mycobacterium tuberculosis EAI5/NITR206","EAI5/NITR206","NITR206","Complete","National Institute of Tuberculosis Research, Chennai, India"
443149,66069,"PRJNA66069",374735,377961,207425,,"Monoisolate","2013/05/20 00:00","Mycobacterium tuberculosis CCDC5079","Mycobacterium tuberculosis CCDC5079 genome sequencing project","  Mycobacterium tuberculosis CCDC5079.  This strain will be used for comparative genome analysis.","Mycobacterium tuberculosis CCDC5079","CCDC5079",,"Complete","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention"
1765,287158,"PRJNA287158",241494,252375,209284,,"Multiisolate","2015/07/21 00:00","Mycobacterium tuberculosis variant bovis","Mycobacterium tuberculosis variant bovis Genome sequencing","Whole-genome sequencing of Mycobacterium bovis isolates from Uruguay.","Mycobacterium tuberculosis variant bovis",,,"Contigs","Institut Pasteur de Montevideo"
1306414,210717,"PRJNA210717",306853,311990,207463,,"Monoisolate","2013/07/11 00:00","Mycobacterium tuberculosis EAI5","Mycobacterium tuberculosis EAI5 Genome sequencing","A clinical isolate of M. tuberculosis from Mumbai was isolated and whole genome was sequenced using Illumina Sequencing. Reference assembly was generated by mapping reads to the genome of reference sequence of M. tuberculosis h37Rv.","Mycobacterium tuberculosis EAI5","EAI5","MUM101","Complete","Department of Life Sciences, Mumbai University, Mumbai, India"
1010834,66061,"PRJNA66061",374738,377964,207623,,"Monoisolate","2014/02/18 00:00","Mycobacterium tuberculosis HKBS1","Mycobacterium tuberculosis BS1 genome sequencing project",,"Mycobacterium tuberculosis HKBS1","BS1",,"Complete","School of Biomedical Sciences, Faculty of Medicine, The Chinese University of Hong Kong"
1765,301187,"PRJNA301187",229042,241028,209283,,"Monoisolate","2015/12/02 00:00","Mycobacterium tuberculosis variant bovis strain:B-3222","Mycobacterium tuberculosis variant bovis strain:B-3222 Genome sequencing and assembly","The aim of this study is to provide useful information about M. bovis isolated from South Korea.","Mycobacterium tuberculosis variant bovis","B-3222",,"Contigs","Animal and Plant Qarantine Agency"
1765,342251,"PRJNA342251",192800,208149,209281,,"Monoisolate","2016/09/15 00:00","Mycobacterium tuberculosis variant bovis strain:D-10-02315","Draft Genome Sequence of Mycobacterium bovis strain","Draft Genome Sequence of Mycobacterium bovis strain isolates from wild boar in Dordogne (France)","Mycobacterium tuberculosis variant bovis","D-10-02315",,"Contigs","Réseau français de Santé Animale"
1010835,66063,"PRJNA66063",374737,377963,207264,,"Monoisolate","2014/02/18 00:00","Mycobacterium tuberculosis BT2","Mycobacterium tuberculosis BT2 Genome sequencing",,"Mycobacterium tuberculosis BT2","BT2",,"Complete","School of Biomedical Sciences, Faculty of Medicine, The Chinese University of Hong Kong"
1010836,66065,"PRJNA66065",374736,377962,207263,,"Monoisolate","2014/02/18 00:00","Mycobacterium tuberculosis BT1","Mycobacterium tuberculosis BT1 genome sequencing project"," Mycobacterium tuberculosis BT1. This strain will be used for comparative genome analysis.","Mycobacterium tuberculosis BT1","BT1",,"Complete","School of Biomedical Sciences, Faculty of Medicine, The Chinese University of Hong Kong"
1765,362881,"PRJNA362881",176387,194244,209278,,"Multiisolate","2017/03/14 00:00","Mycobacterium tuberculosis variant bovis","Draft Genome Sequences of Mycobacterium bovis strains","Draft Genome Sequences of Mycobacterium bovis 3 strains isolate in France","Mycobacterium tuberculosis variant bovis",,,"Contigs","Réseau français de Santé Animale"
443150,66071,"PRJNA66071",374734,377960,207427,,"Monoisolate","2014/02/18 00:00","Mycobacterium tuberculosis CCDC5180","Mycobacterium tuberculosis CCDC5180 genome sequenicng project","  Mycobacterium tuberculosis CCDC5180.  This strain will be used for comparative genome analysis.","Mycobacterium tuberculosis CCDC5180","CCDC5180",,"Complete","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention"
1249615,178919,"PRJNA178919",325401,328888,207630,,"Monoisolate","2014/06/05 00:00","Mycobacterium tuberculosis K strain:K","Mycobacterium tuberculosis K strain:K Genome sequencing","Mycobacterium tuberculosis K. Sequencing of clinical isolate in Korea. This strain is sequenced for comparative genomic studies.","Mycobacterium tuberculosis K","K",,"Complete","Seoul National University"
1773,246436,"PRJNA246436",277368,284484,206893,,"Monoisolate","2014/06/13 00:00","Mycobacterium tuberculosis strain:Korean strain","Mycobacterium tuberculosis strain:Korean strain Genome sequencing","Isolated in Korean TB patients","Mycobacterium tuberculosis","Korean strain","KIT87190","Complete","Korean Institute of Tuberculosis"
1773,256478,"PRJNA256478",268366,276139,206877,,"Multiisolate","2014/08/07 00:00","Mycobacterium tuberculosis","Mycobacterium tuberculosis Genome sequencing","Study the mechanisms of drug resistance in MTB and identify mutations that contribute to drug resistance.","Mycobacterium tuberculosis",,,"Complete","Affliated Hospital of Zunyi Medical College"
1773,253748,"PRJNA253748",270750,278278,206880,,"Multiisolate","2014/09/22 00:00","Mycobacterium tuberculosis","genome sequencing of Beijing and Manila strains of Mycobacterium tuberculosis","The most tuberculosis cases in the USA occur in Hawaii, predominantly due to MTB strains from the Beijing or Manila families. In this project, we sequence the genomes of Beijing 96075 and Manila 96121 for use in future comparative genomics studies.","Mycobacterium tuberculosis",,,"Complete","Northern Arizona University"
1437856,232612,"PRJNA232612",289793,295962,207620,,"Monoisolate","2015/01/21 00:00","Mycobacterium tuberculosis H37RvSiena","Mycobacterium tuberculosis H37RvSiena Genome sequencing","This is a resequencing project aimed at identifying differences between H37RvSiena and the reference H37Rv deposited sequence","Mycobacterium tuberculosis H37RvSiena","H37RvSiena","H37RvSiena","Complete","University of Siena"
413996,18279,"PRJNA18279",384436,385586,209327,,"Monoisolate","2009/05/23 00:00","Mycobacterium tuberculosis variant bovis BCG str. Moreau RDJ","Brazilian vaccine strain","Mycobacterium bovis BCG str. Moreau RDJ. This is the Brazilian vaccine strain of Mycobacterium bovis and is very immunogenic with few side effects. This strain will be used for comparative genomics.","Mycobacterium tuberculosis variant bovis BCG str. Moreau RDJ","Moreau RDJ",,"Complete","Fiocruz - FAP"
33892,251957,"PRJNA251957",272300,279665,209308,,"Single cell","2015/06/30 00:00","Mycobacterium tuberculosis variant bovis BCG strain:3281","Comparative Genomics analysis revealed characteristics associated with pathogenic BCG","Comparative Genomics analysis revealed characteristics associated with pathogenic BCG","Mycobacterium tuberculosis variant bovis BCG",3281,,"Complete","Huazhong Agriculture University, Life Science and technology academy"
33892,256163,"PRJNA256163",268654,276303,209307,,"Monoisolate","2015/08/26 00:00","Mycobacterium tuberculosis variant bovis BCG","Mycobacterium tuberculosis variant bovis BCG Genome sequencing","Comparative analysis of the early substrains of the vaccine BCG strain","Mycobacterium tuberculosis variant bovis BCG","BCG","Russia 368","Complete","N.F.Gamaleya Institute for Epidemiology and Microbiology"
1773,291131,"PRJNA291131",238029,249262,206797,,"Monoisolate","2015/08/31 00:00","Mycobacterium tuberculosis strain:SCAID 187","Mycobacterium tuberculosis strain:SCAID 187 Genome sequencing and assembly","Mycobacterium tuberculosis strain SCAID 187 was isolated from sputum of patient with MDR-TB. participated in 2nd B phase of clinical trials of new drug FS-1. The sputum from patient was collected before the first dose intake (in screening stage). Drug Susceptibility Test on solid and liquid media showed resistance to the 1st-line anti-TB drugs and to some anti-TB-drugs from the 2nd line. This strain was sequenced for studying reversion of sensitivity which was discovered during clinical trials and confirmed in experiment on guinea pigs.","Mycobacterium tuberculosis","SCAID 187",,"Complete","Scientific Center for Anti-infectious Drugs (SCAID)"
561275,313242,"PRJNA313242",218836,231774,209338,,"Monoisolate","2016/03/07 00:00","Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172","Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172 Genome sequencing and assembly","Mycobacterium bovis BCG","Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172","Tokyo 172",,"Complete","Thai Red Cross Society"
1773,335538,"PRJNA335538",198826,213692,206715,,"Monoisolate","2016/08/10 00:00","Mycobacterium tuberculosis strain:SCAID 320.0","Mycobacterium tuberculosis Genome sequencing and assembly","Mycobacterium tuberculosis strain SCAID 320.0 was isolated from sputum of patient with MDR-TB. participated in 2nd B phase of clinical trials of new drug FS-1. The sputum from patient was collected before the first dose intake (in screening stage). Drug Susceptibility Test on solid and liquid media showed resistance to the 1st-line anti-TB drugs and to some anti-TB-drugs from the 2nd line. This strain was sequenced for studying reversion of sensitivity which was discovered during clinical trials and confirmed in experiment on guinea pigs.","Mycobacterium tuberculosis","SCAID 320.0",,"Complete","Scientific Center for Anti-infectious Drugs (SCAID)"
1773,335537,"PRJNA335537",198827,213693,206716,,"Monoisolate","2016/08/19 00:00","Mycobacterium tuberculosis strain:SCAID 252.0","Mycobacterium tuberculosis Genome sequencing and assembly","Mycobacterium tuberculosis strain SCAID 252.0 was isolated from sputum of patient with MDR-TB. participated in 2nd B phase of clinical trials of new drug FS-1. The sputum from patient was collected before the first dose intake (in screening stage). Drug Susceptibility Test on solid and liquid media showed resistance to the 1st-line anti-TB drugs and to some anti-TB-drugs from the 2nd line. This strain was sequenced for studying reversion of sensitivity which was discovered during clinical trials and confirmed in experiment on guinea pigs.","Mycobacterium tuberculosis","SCAID 252.0",,"Complete","Scientific Center for Anti-infectious Drugs (SCAID)"
1773,273899,"PRJNA273899",253290,262971,206822,,"Monoisolate","2016/10/03 00:00","mycobacterium tuberculosis strain:Beijing lineage","mycobacterium tuberculosis strain:Beijing lineage Genome sequencing","we first identified a characteristic and representative reference strain of the Beijing genotype strains in China and determimed its whole genome sequence (WGS)","mycobacterium tuberculosis","Beijing lineage",,"Complete","Beijing Chest Hospital, Capital Medical University"
1773,304069,"PRJNA304069",226510,238715,206772,,"Monoisolate","2016/10/27 00:00","Mycobacterium tuberculosis strain:1458","Mycobacterium tuberculosis strain:1458 Genome sequencing","investigate the genetic clues that M.tuberculosis is virulent to cattles","Mycobacterium tuberculosis",1458,,"Complete","Huazhong Agricultural University"
1773,349996,"PRJNA349996",186631,202847,206708,,"Monoisolate","2016/11/07 00:00","Mycobacterium tuberculosis strain:TB282","Mycobacterium tuberculosis  genome sequencing","Whole-Genome Sequences of Mycobacterium tuberculosis TB282 and TB284, a widespread and a unique strain identified in a previous study of tuberculosis transmission in central Los Angeles","Mycobacterium tuberculosis","TB282",,"Complete","Michigan State University"
1773,343736,"PRJNA343736",191580,207080,206710,,"Multiisolate","2016/10/11 00:00","Mycobacterium tuberculosis","Mycobacterium tuberculosis Genome sequencing and assembly","Clinical isolates of M. tuberculosis from Lima, Peru","Mycobacterium tuberculosis",,,"Complete","CETR, HSPH, Megan Murray, director"
1773,357378,"PRJNA357378",180275,197406,206695,,"Monoisolate","2016/12/27 00:00","Mycobacterium tuberculosis strain:DK9897 | isolate:DK9897","Mycobacterium tuberculosis strain:DK9897 | isolate:DK9897 Genome sequencing and assembly","Characterizing a clinical isolate extracted from a patient with extrapulmonary TB and not protected by a recombinant vaccine","Mycobacterium tuberculosis","DK9897",,"Complete","Statens Serum Institut"
